,fname,text
0,chl.de project ebf,"chl.de project ebf.   Empirical educational research | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  Empirical educational research June 11, 2021 Website github I held my lecture “educational empirical research” several times online, inspect all materials on the corresponding website. Posted on: June 11, 2021 Length: 1 minute read, 17 words See Also:  ← CopyCat Linear Regression App →    © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
1,chl.de post,chl.de post.   404 Page not found | Dr. Edgar Treischl       About Projects Publications Snippets Visualizations Contact  404 Page not found   © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   
2,chl.de blog page 2,"chl.de blog page 2.   | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact    GGplot for Starters I believe learning GGPlot is a good start for everyone who is not familiar with R, but who has at least some coding experience from other statistic programs. For this reason, I truly believe that learning GGPlot is smooth way to learn R ;) GGPlot is a powerful library that comes with many different applications to visualize data. It starts with very simple things like bar charts, box plots and line charts. By Edgar Treischl January 12, 2018  ← Newer 2 of 2 Older →   This is a collection of blog entries or smaller snippets about R, Python and other things I work on. Written by Edgar Treischl   © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
3,chl.de project powerapp,"chl.de project powerapp.   Power App | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  Power App in R Shiny R November 1, 2020 open app This app introduces power analysis and outlines how sample and effect size are related. Run a power analysis and learn whether a study has enough power to find a significant effect. Posted on: November 1, 2020 Length: 1 minute read, 31 words Categories: R Shiny R See Also:  ← Logistic regression app Stata And Paste →    © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
4,chl.de project logitapp,"chl.de project logitapp.   Logistic regression app | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  Logistic regression app in R Shiny R November 1, 2020 open app The shiny app introduces the basics of a logistic regression and examines who survived the Titanic accident. It outlines the logic of a logistic regression, it underlines what a odds ratio measures, and it discusses the performance of such models. Posted on: November 1, 2020 Length: 1 minute read, 40 words Categories: R Shiny R See Also:  ← Linear Regression App Power App →    © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
5,chl.de,"chl.de.   Edgar J. Treischl       About Projects Publications Snippets Visualizations Contact  Edgar J. Treischl Senior research fellow    Until recently I worked as senior research fellow at the University Erlangen‐Nuremberg. Most of my research was about evaluation, survey research, and causality. I am also an R enthusiast with a broader view on data science topics such as data visualization, NLP, machine learning. In my spare time I go jogging, swimming or do a bike tour. Read More →     © 2023 Edgar Treischl    Made with Hugo Apéro.      License   "
6,chl.de .. media CV Treischl.pdf,"chl.de .. media CV Treischl.pdf. About Edgar: Edgar J. Treischl is a Senior Research Fellow. Until recently, he worked at School of Business and Economics, University Erlangen-Nuremberg How to contact me: use the contact form on this website Homepage: www.edgar-treischl.de GitHub Account: edgar-treischl Edgar describes himself as: Until recently I worked as senior research fellow at the University Erlangen‐Nuremberg. Most of my research was about evaluation, survey research, and causality. I am also an R enthusiast with a broader view on data science topics such as data visualization, NLP, machine learning. In my spare time I go jogging, swimming or do a bike tour. Edgar's Work Experience: Work position: Postdoctoral researcher at the chair “Empirical Economic Sociology” (University Nürnberg-Erlangen 2019-2023) Tasks: – Conducted factorial survey experiments to examine the acceptance of AI‐based applications – Built R Packages: CopyCat, Practice R (available on Github) - Built Python Chatbots for teaching purposes – Webmaster and accountable for the IT Work position: Research assistant at the chair “Empirical Economic Sociology” (University Nürnberg-Erlangen 2017–2019) Tasks: – Coordination of the master programme “Social Economics” – Programmed several R Shiny apps for teaching purposes (available on my website) – Webmaster of the chairs’ wordpress website Work position: Research Assistant at the chair “Statistics and Methodology” (University of Mannheim 2016–2017) Tasks: – Teaching, supervision of BA/MA theses, and part of the organization of a hackathon – Member of graduate school with courses in NLP, R for programming, panel data analysis – Project assistant at the Mannheim Centre for European Social Research (T. Wolbring) Work position: Research assistant at the chair “Quantitative Social Research” (University of Munich 2013–2016) Tasks: – Conducted field experiments to identify the causal effect of survey mode in student evaluation (SET) – Responsible for the transition from paper‐based to online‐based SET at the social science department – Developed dashboards to automate the communication of evaluation results – Consulting: Evaluation of Secondary Schools (in cooperation with the Pedagogical Institute, Munich) Edgar's degrees: - PhD in Quantitative Social Sciences (Dr. rer. soc.) from the University of Mannheim - Diploma in Sociology (Dipl.‐Soz.) from the University of Munich Edgar's teaching experience: - Seminars about empirical methods and statistics - Lecture about introduction to educational research - Applied data analysis courses (R/STATA/SPSS) - Experiments in social sciences   - Classics of social science research Edgar has written and published books. He is the author of ""Selection Effects in Students’ Evaluation of Teaching. Methodological Pitfalls for the Measurement of Teaching Quality""; ""Wirkungsevaluation. Grundlagen, Standards, Beispiele""; and ""Practice R: An interactice text book"". Edgar has published the several research articles: (1) Wolbring, T. & Treischl, E.(2016): Selection Bias in Students’ Evaluation of Teaching. Causes of Student Absenteeism and Its Consequences for Course Ratings and Rankings. Research in Higher Education, 57 (1), p. 51–71. (2) Treischl, E. & Wolbring, T.(2017): The Causal Effect of Survey Mode on Students’ Evaluations of Teaching. Empirical Evidence from Three Field Experiments. Research in Higher Education, 58 (8), p. 904–921. Edgar's has held presentations on the following international confernces: - What determines students’ willingness to share data? Evidence from a Factorial Survey Experiment. The International Conference on Social Science Methodology (RC33), Nicosia, Cyprus, September 2020 (with Tobias Wolbring). - Can a Factorial Survey be Used to Improve our Understanding of Teaching Quality? 8. Conference of the European Survey Research Association, Zagreb, July 2019 (with Anna‐Lena Hönig). - How To Find a Needle in the (Teaching) Hay Stack? International Studies Association Annual Conference 2019, Toronto, March 2019 (with Anna‐Lena Hönig). - Past, Present and Future of Factorial Surveys Experiments. European Sociological Association Midterm Conference of RN 21 ‐ Quantitative Methods , Cracow, October 2018. - What’s the Teaching Impact? The Causal Effect of Single Teaching Dimensions on Students’ Evaluation of Teaching, International Studies Association Annual Conference 2018, San Francisco, April 2018 (with Anna‐Lena Hönig). Edgar has acquired the following kills: – Programming: R, Stata, Python, SQL – Processing: Markdown, LATEX, Microsoft Office – Visualization skills: R (shiny, ggplot2, etc.), Power BI, Tableau – Web programming: HTML, CSS, D3.js – Edgar speaks the following languages: German (Native speaker), English, Dutch, Spanish "
7,chl.de dataviz illustrations,"chl.de dataviz illustrations.   Illustrations | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  Illustrations GitHub Visualizations to illustrate concepts. For example, the difference between long and wide data formats. Posted on: October 14, 2021 Length: 1 minute read, 14 words See Also:  ← Humor Streetmap →    © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
8,chl.de blog ggplot for starters,"chl.de blog ggplot for starters.   GGplot for Starters | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  GGplot for Starters By Edgar Treischl January 12, 2018 I believe learning GGPlot is a good start for everyone who is not familiar with R, but who has at least some coding experience from other statistic programs. For this reason, I truly believe that learning GGPlot is smooth way to learn R ;) GGPlot is a powerful library that comes with many different applications to visualize data. It starts with very simple things like bar charts, box plots and line charts. Being more familiar with R you can use GGplot even to make maps, animations and other fancy things. We will cover that later, let’s start with some simple graphs to get you an idea how the GG universe works. As always, we need to install the package install.packages(""ggplot2"") first and load the library library(ggplot2). Plus, we load two datasets included in R. So you can simply copy the code, fool around and in the end adjust for our own purposes. #install.packages(""XX"") to install a package library(ggplot2) data(diamonds, mpg, package = ""ggplot2"") Pure and simple bar charts  In the first step we produce a bar chart and adjust it step by step. Let’s say you want to visualize the outcome between two or more groups. So we can start to create a data frame in R with a variable for a group (here a treatment and control group) and some random values. dat <- data.frame( Group = factor(c(""Treatment"",""Control""), levels=c(""Treatment"",""Control"")), Outcome = c(18.89, 14.23) ) Plotting these values is pretty easy. We create a ggplot by defining our dataset (data=dat) and tell ggplot which are our variables of interest and the way to display it. # Very basic bar graph ggplot(data=dat, aes(x=Group, y=Outcome)) +  geom_bar(stat=""identity"") So, the basic command displays the numbers for each group since we provided a data frame with the final values. We add the layer geom_bar(stat=""identity"") to the GGplot to call these values which leaves the y value unchanged. If you instead use geom_bar(stat_bin) than R counts the cases, and we can even use a numerical indicator and specify a group variable group=xx to display the values for each group. So, this is how the basic syntax works. From here on we can adjust the plot for our purposes (and audience) by adding (+) layers. Make it look nice and publishable  Let’s use the basic chart to learn a few options for ggplot while producing a chart you like to include in your own work without being embarrassed :) First we can use diffrent colours to indicate the differences between the groups. Ggplot automatically provides different colours by adding a third variable or instead say fill=Group to our basic command. # Very basic bar graph ggplot(data=dat, aes(x=Group, y=Outcome, fill=Group)) + geom_bar(stat=""identity"") You don’t like the colours? Never mind. You can and should adjust them. For example, you can provide a graph with nice colours to highlight the differences in a presentation, but may change the colours to black and white your work. You can work that out with one line of code. # Very basic bar graph ggplot(data=dat, aes(x=Group, y=Outcome, fill=Group)) + geom_bar(stat=""identity"")+ scale_fill_manual(values=c(""black"", ""gray"")) Note that we tell ggplot “values” for the colours. This implies that R knows some standard colours, but you can provide R with the hexadecimal format for different colours, which makes it possible to use every colour. Sounds complicated in the first place, but it isn’t. Go to Colorbrewer pick some colours you like, copy the hex code instead of providing the label for the colour. I go with some blues :). # Very basic bar graph ggplot(data=dat, aes(x=Group, y=Outcome, fill=Group)) + geom_bar(stat=""identity"")+ scale_fill_manual(values=c(""#08519c"", ""#6baed6"")) To be honest, there is a reason why I tell you this stuff. You can find patterns of nice colours for the nature of your data (sequential, diverging) on colorbrewer, you can adjust your colours to provide colorblind safe, print friendly and photocopy safe graphs. So there are many good reasons why you should think about colours. And that’s especially true if you think about the message you like to transport with your graph. Maybe this is something to decide before we can call it a day. However, if you don’t want to choose different colours use simply scale_colour_brewer() to provide different already defined colour patterns (palettes). Let’s have a look. # Very basic bar graph ggplot(data=dat, aes(x=Group, y=Outcome, fill=Group)) + geom_bar(stat=""identity"")+ scale_fill_brewer(palette=""Set1"") Have a look at different defined colour patterns (Set 1,2,3; Reds, Greens), google is our friend. And the same applies for themes to define the background colours, type, size and so one. Certainly, you can define every detail as you wish, but ggplot come with nice themes you can try as a start. Just write theme in a newline and see which suggestions you get for different themes. Here I add the minimalist theme, but you can try different themes (theme_bw(),theme_economist()) and adjust them if necessary. Your data is probably not as clean and nice as our small world example. Maybe the variables in the data set do not even have a proper name or label. We should give our audience provide the information that is necessary to understand the graph. Labels and proper information is not a problem: Just give ggplot labels for the y and or x axis ylab(""Label""). #It’s up to you … There are many different options to make your graph more accessible. Certainly, I don’t believe we need to discuss all options in detail but I provide you some examples (and comments after the # in the code) for each option. So it’s up to you which information and style to add in your first ggplot. Just give it a try: #Moves (left,right, top) and Removes the legend (""none""): theme(legend.position=""bottom"") #If your want ajust the order: scale_fill_discrete(breaks=c(""Control"",""Treatment"")) #You can adjust the y (and x) scale by providing the min and max values: coord_cartesian(ylim = c(0, 40)) #You can provide a reference line for the y (and x) variable geom_hline(aes(yintercept=20), colour=""#990000"", linetype=""dashed"") #Provide a title for your graph ggtitle(""My first ggplot"") #Change the orientation of the graph: Vertical vs. horizontal coord_flip() Well then, let’s practice a bit. We can use the build-in dataset mpg to make a ranked bar chart. Let’s see how the data looks: #The mpg dataset head(mpg) ## # A tibble: 6 × 11 ## manufacturer model displ year cyl trans  drv  cty hwy fl class ## <chr>  <chr> <dbl> <int> <int> <chr>  <chr> <int> <int> <chr> <chr> ## 1 audi   a4  1.8 1999  4 auto(l5) f  18 29 p  compa… ## 2 audi   a4  1.8 1999  4 manual(m5) f  21 29 p  compa… ## 3 audi   a4  2 2008  4 manual(m6) f  20 31 p  compa… ## 4 audi   a4  2 2008  4 auto(av) f  21 30 p  compa… ## 5 audi   a4  2.8 1999  6 auto(l5) f  16 26 p  compa… ## 6 audi   a4  2.8 1999  6 manual(m5) f  18 26 p  compa… Can you display how many classes of cars are in the mpg dataset? Hint: geom_bar(stat=""count"") Posted on: January 12, 2018 Length: 6 minute read, 1155 words See Also:  ← Learning SQL the Badass Way (1)     © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
9,chl.de project practicer,"chl.de project practicer.   Practice R | Dr. Edgar Treischl        About Projects Publications Snippets Visualizations Contact  Practice R in R June 11, 2019 Package website GitHub Book The Practice R package is the corresponding R package for the Pratice R book. It contains tutorials, learning materials (e.g. RMarkdown templates) and helper functions to learn R. Posted on: June 11, 2019 Length: 1 minute read, 26 words Categories: R See Also:  ← Workshops empirische Bildungsforschung    © 2023 Edgar Treischl    Made with Hugo Apéro.    Based on Blogophonic by Formspree.      License   "
